V1	V2	V3	V4	V5	V6
688	2	KLF5	13q22.1	Kruppel-like factor 5 (intestinal)	 209211_at,209212_s_at
2115	5	ETV1	7p21.3	ets variant 1	 206501_x_at,217053_x_at,217061_s_at,221910_at,221911_at
2118	2	ETV4	17q21	ets variant 4	 1554576_a_at,211603_s_at
3149	3	HMGB3	Xq28	high-mobility group box 3	 203744_at,217454_at,225601_at
3428	3	IFI16	1q22	interferon, gamma-inducible protein 16	 206332_s_at,208965_s_at,208966_x_at
3609	5	ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa	 208930_s_at,208931_s_at,211375_s_at,217804_s_at,217805_at
3720	2	JARID2	6p24-p23	jumonji, AT rich interactive domain 2	 203297_s_at,203298_s_at
4605	1	MYBL2	20q13.1	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	201710_at
4801	4	NFYB	12q22-q23	nuclear transcription factor Y, beta	 218127_at,218128_at,218129_s_at,244704_at
4869	3	NPM1	5q35	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	 200063_s_at,221691_x_at,221923_s_at
5460	1	POU5F1	6p21.31	POU class 5 homeobox 1	208286_x_at
5978	1	REST	4q12	RE1-silencing transcription factor	204535_s_at
6297	1	SALL2	14q11.1-q12	sal-like 2 (Drosophila)	213283_s_at
6299	2	SALL1	16q12.1	sal-like 1 (Drosophila)	 206893_at,229273_at
6883	1	TAF12	1p35.3	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	209463_s_at
6942	3	TCF20	22q13.3|22q13.3	transcription factor 20 (AR1)	 212931_at,215511_at,238667_at
7004	2	TEAD4	12p13.3-p13.2	TEA domain family member 4	 204281_at,41037_at
7019	3	TFAM	10q21	transcription factor A, mitochondrial	 203176_s_at,203177_x_at,208541_x_at
7090	4	TLE3	15q22	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	 206472_s_at,212769_at,212770_at,228340_at
7547	1	ZIC3	Xq26.2	Zic family member 3 (odd-paired homolog, Drosophila)	207197_at
7748	1	ZNF195	11p15.5	zinc finger protein 195	204234_s_at
7913	1	DEK	6p22.3	DEK oncogene	200934_at
7994	4	MYST3	8p11	MYST histone acetyltransferase (monocytic leukemia) 3	 1559142_at,202423_at,216361_s_at,226547_at
8028	9	MLLT10	10p12	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	 1563321_s_at,205408_at,216480_x_at,216503_s_at,216506_x_at,216509_x_at,225992_at,230122_at,238257_at
8433	1	UTF1	10q26	undifferentiated embryonic cell transcription factor 1	208275_x_at
8820	1	HESX1	3p14.3	HESX homeobox 1	211267_at
8880	4	FUBP1	1p31.1	far upstream element (FUSE) binding protein 1	 203091_at,212847_at,214093_s_at,214094_at
9282	5	MED14	Xp11.4-p11.2	mediator complex subunit 14	 202610_s_at,202611_s_at,202612_s_at,215167_at,217120_s_at
9603	2	NFE2L3	7p15-p14	nuclear factor (erythroid-derived 2)-like 3	 204702_s_at,236471_at
9908	3	G3BP2	4q21.1	GTPase activating protein (SH3 domain) binding protein 2	 206383_s_at,208840_s_at,208841_s_at
9968	4	MED12	Xq13	mediator complex subunit 12	 203506_s_at,211342_x_at,214275_at,216071_x_at
10153	1	CEBPZ	2p22.2	CCAAT/enhancer binding protein (C/EBP), zeta	203341_at
10308	1	ZNF267	16p11.2	zinc finger protein 267	219540_at
10363	1	HMG20A	15q24	high-mobility group 20A	218152_at
10622	3	POLR3G	5q14.3	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	 206653_at,206654_s_at,231544_s_at
11143	1	MYST2	17q21.32	MYST histone acetyltransferase 2	200049_at
11168	4	PSIP1	9p22.3	PC4 and SFRS1 interacting protein 1	 1554933_at,205961_s_at,209337_at,210758_at
11169	3	WDHD1	14q22.3	WD repeat and HMG-box DNA binding protein 1	 204727_at,204728_s_at,216228_s_at
22823	5	MTF2	1p22.1	metal response element binding transcription factor 2	 203345_s_at,203346_s_at,203347_s_at,209704_at,209705_at
23133	3	PHF8	Xp11.22	PHD finger protein 8	 212916_at,215065_at,238837_at
23412	1	COMMD3	10pter-q22.1	COMM domain containing 3	218048_at
51385	4	ZNF589	3p21	zinc finger protein 589	 1569108_a_at,210061_at,210062_s_at,219968_at
57167	2	SALL4	20q13.13-q13.2	sal-like 4 (Drosophila)	 229661_at,236501_at
57380	6	MRS2	6p22.3-p22.1	MRS2 magnesium homeostasis factor homolog (S. cerevisiae)	 218536_at,218538_s_at,224101_x_at,227789_at,228542_at,244844_at
57492	6	ARID1B	6q25.1	AT rich interactive domain 1B (SWI1-like)	 1566989_at,1566990_x_at,1566991_at,225181_at,225184_at,233339_s_at
57504	2	MTA3	2p21	metastasis associated 1 family, member 3	 223311_s_at,226852_at
57541	3	ZNF398	7q36.1	zinc finger protein 398	 1555015_a_at,226202_at,228145_s_at
79718	5	TBL1XR1	3q26.32	transducin (beta)-like 1 X-linked receptor 1	 221428_s_at,222633_at,222634_s_at,223013_at,233633_at
79727	1	LIN28	1p36.11	lin-28 homolog (C. elegans)	219823_at
79923	1	NANOG	12p13.31	Nanog homeobox	220184_at
79960	4	PHF17	4q26-q27	PHD finger protein 17	 218517_at,225816_at,225820_at,235024_at
83439	1	TCF7L1	2p11.2	transcription factor 7-like 1 (T-cell specific, HMG-box)	221016_s_at
84891	2	ZSCAN10	16p13.3	zinc finger and SCAN domain containing 10	 1553874_a_at,1553875_s_at
153572	2	IRX2	5p15.33	iroquois homeobox 2	 228404_at,228462_at
58	1	ACTA1	1q42.13	actin, alpha 1, skeletal muscle	203872_at
70	1	ACTC1	15q11-q14	actin, alpha, cardiac muscle 1	205132_at
89	1	ACTN3	11q13.1	actinin, alpha 3	206891_at
119	3	ADD2	2p14-p13	adducin 2 (beta)	 205268_s_at,206807_s_at,237336_at
142	1	PARP1	1q41-q42	poly (ADP-ribose) polymerase 1	208644_at
249	2	ALPL	1p36.12	alkaline phosphatase, liver/bone/kidney	 1557924_s_at,215783_s_at
262	2	AMD1	6q21-q22	adenosylmethionine decarboxylase 1	 201196_s_at,201197_at
477	2	ATP1A2	1q21-q23	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	 203295_s_at,203296_s_at
699	5	BUB1	2q14	budding uninhibited by benzimidazoles 1 homolog (yeast)	 209642_at,215508_at,215509_s_at,216275_at,216277_at
708	2	C1QBP	17p13.3	complement component 1, q subcomponent binding protein	 208910_s_at,214214_s_at
836	2	CASP3	4q34	caspase 3, apoptosis-related cysteine peptidase	 202763_at,236729_at
875	3	CBS	21q22.3	cystathionine-beta-synthase	 1553972_a_at,212816_s_at,240517_at
890	2	CCNA2	4q25-q31	cyclin A2	 203418_at,213226_at
983	4	CDC2	10q21.1	cell division cycle 2, G1 to S and G2 to M	 203213_at,203214_x_at,210559_s_at,231534_at
990	2	CDC6	17q21.3	cell division cycle 6 homolog (S. cerevisiae)	 203967_at,203968_s_at
991	1	CDC20	1p34.1	cell division cycle 20 homolog (S. cerevisiae)	202870_s_at
993	3	CDC25A	3p21	cell division cycle 25 homolog A (S. pombe)	 1555772_a_at,204695_at,204696_s_at
1075	4	CTSC	11q14.1-q14.3	cathepsin C	 201487_at,225646_at,225647_s_at,231234_at
1381	2	CRABP1	15q24	cellular retinoic acid binding protein 1	 1563897_at,205350_at
1382	1	CRABP2	1q21.3	cellular retinoic acid binding protein 2	202575_at
1400	1	CRMP1	4p16.1-p15	collapsin response mediator protein 1	202517_at
1434	4	CSE1L	20q13	CSE1 chromosome segregation 1-like (yeast)	 201111_at,201112_s_at,210765_at,210766_s_at
1525	2	CXADR	21q21.1	coxsackie virus and adenovirus receptor	 1555716_a_at,203917_at
1719	4	DHFR	5q11.2-q13.2	dihydrofolate reductase	 202532_s_at,202533_s_at,202534_x_at,48808_at
1730	3	DIAPH2	Xq21.33	diaphanous homolog 2 (Drosophila)	 205603_s_at,205726_at,217246_s_at
1741	4	DLG3	Xq13.1	discs, large homolog 3 (Drosophila)	 207732_s_at,212727_at,212728_at,212729_at
1763	1	DNA2	10q21.3-q22.1	DNA replication helicase 2 homolog (yeast)	213647_at
1788	3	DNMT3A	2p23	DNA (cytosine-5-)-methyltransferase 3 alpha	 218457_s_at,222640_at,244428_at
1789	1	DNMT3B	20q11.2	DNA (cytosine-5-)-methyltransferase 3 beta	220668_s_at
1829	2	DSG2	18q12.1	desmoglein 2	 1553105_s_at,217901_at
1894	3	ECT2	3q26.1-q26.2	epithelial cell transforming sequence 2 oncogene	 219787_s_at,234992_x_at,237241_at
2030	2	SLC29A1	6p21.2-p21.1	solute carrier family 29 (nucleoside transporters), member 1	 201801_s_at,201802_at
2041	2	EPHA1	7q34	EPH receptor A1	 205977_s_at,215804_at
2058	3	EPRS	1q41-q42	glutamyl-prolyl-tRNA synthetase	 200841_s_at,200842_s_at,200843_s_at
2237	2	FEN1	11q12	flap structure-specific endonuclease 1	 204767_s_at,204768_s_at
2239	2	GPC4	Xq26.1	glypican 4	 204983_s_at,204984_at
2247	2	FGF2	4q26-q27	fibroblast growth factor 2 (basic)	 204421_s_at,204422_s_at
2258	1	FGF13	Xq26.3	fibroblast growth factor 13	205110_s_at
2289	3	FKBP5	6p21.3-p21.2	FK506 binding protein 5	 204560_at,224840_at,224856_at
2558	3	GABRA5	15q11.2-q12	gamma-aminobutyric acid (GABA) A receptor, alpha 5	 206456_at,215531_s_at,217280_x_at
2562	5	GABRB3	15q11.2-q12	gamma-aminobutyric acid (GABA) A receptor, beta 3	 1569689_s_at,205850_s_at,227690_at,227830_at,229724_at
2618	7	GART	21q22.1|21q22.11	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	 210005_at,212378_at,212379_at,216990_at,217445_s_at,230097_at,244822_at
2697	1	GJA1	6q21-q23.2	gap junction protein, alpha 1, 43kDa	201667_at
2731	1	GLDC	9p22	glycine dehydrogenase (decarboxylating)	204836_at
2842	1	GPR19	12p12.3	G protein-coupled receptor 19	207183_at
3038	3	HAS3	16q22.1	hyaluronan synthase 3	 1552980_at,223541_at,228179_at
3070	5	HELLS	10q24.2	helicase, lymphoid-specific	 220085_at,223556_at,227349_at,227350_at,234040_at
3161	2	HMMR	5q33.2-qter	hyaluronan-mediated motility receptor (RHAMM)	 207165_at,209709_s_at
3308	4	HSPA4	5q31.1-q31.2	heat shock 70kDa protein 4	 208814_at,208815_x_at,211015_s_at,211016_x_at
3329	5	HSPD1	2q33.1	heat shock 60kDa protein 1 (chaperonin)	 200806_s_at,200807_s_at,241716_at,243372_at,243845_at
3620	1	IDO1	8p12-p11	indoleamine 2,3-dioxygenase 1	210029_at
3710	4	ITPR3	6p21	inositol 1,4,5-triphosphate receptor, type 3	 201187_s_at,201188_s_at,201189_s_at,239542_at
3790	1	KCNS3	2p24	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	205968_at
3800	3	KIF5C	2q23.1	kinesin family member 5C	 1557089_at,203129_s_at,203130_s_at
3818	2	KLKB1	4q34-q35	kallikrein B, plasma (Fletcher factor) 1	 206541_at,229959_at
3856	2	KRT8	12q13	keratin 8	 209008_x_at,216821_at
3964	6	LGALS8	1q42-q43	lectin, galactoside-binding, soluble, 8	 208933_s_at,208934_s_at,208935_s_at,208936_x_at,210731_s_at,210732_s_at
4072	1	EPCAM	2p21	epithelial cell adhesion molecule	201839_s_at
4074	2	M6PR	12p13	mannose-6-phosphate receptor (cation dependent)	 200900_s_at,200901_s_at
4124	3	MAN2A1	5q21-q22	mannosidase, alpha, class 2A, member 1	 205105_at,226538_at,235103_at
4141	3	MARS	12q13.2	methionyl-tRNA synthetase	 201475_x_at,213671_s_at,213672_at
4144	2	MAT2A	2p11.2	methionine adenosyltransferase II, alpha	 200768_s_at,200769_s_at
4171	1	MCM2	3q21	minichromosome maintenance complex component 2	202107_s_at
4172	1	MCM3	6p12	minichromosome maintenance complex component 3	201555_at
4173	4	MCM4	8q11.2	minichromosome maintenance complex component 4	 212141_at,212142_at,222036_s_at,222037_at
4174	2	MCM5	22q13.1	minichromosome maintenance complex component 5	 201755_at,216237_s_at
4175	2	MCM6	2q21	minichromosome maintenance complex component 6	 201930_at,238977_at
4240	4	MFGE8	15q25	milk fat globule-EGF factor 8 protein	 1558960_a_at,1567539_at,1567540_at,210605_s_at
4257	4	MGST1	12p12.3-p12.1	microsomal glutathione S-transferase 1	 1565162_s_at,224918_x_at,231736_x_at,239001_at
4361	3	MRE11A	11q21	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	 205395_s_at,211334_at,242456_at
4521	1	NUDT1	7p22	nudix (nucleoside diphosphate linked moiety X)-type motif 1	204766_s_at
4522	2	MTHFD1	14q24	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	 202309_at,239846_at
4678	4	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)	 201969_at,201970_s_at,237276_at,242918_at
4838	2	NODAL	10q22.1	nodal homolog (mouse)	 230916_at,237896_at
4913	1	NTHL1	16p13.3	nth endonuclease III-like 1 (E. coli)	209731_at
4922	1	NTS	12q21	neurotensin	206291_at
4947	2	OAZ2	15q22.31	ornithine decarboxylase antizyme 2	 201364_s_at,201365_at
4998	1	ORC1L	1p32	origin recognition complex, subunit 1-like (yeast)	205085_at
5058	3	PAK1	11q13-q14	p21 protein (Cdc42/Rac)-activated kinase 1	 209615_s_at,226507_at,230100_x_at
5097	2	PCDH1	5q32-q33	protocadherin 1	 203918_at,215277_at
5134	5	PDCD2	6q27	programmed cell death 2	 204025_s_at,213581_at,213585_s_at,228420_at,243773_at
5163	2	PDK1	2q31.1	pyruvate dehydrogenase kinase, isozyme 1	 206686_at,226452_at
5198	1	PFAS	17p13.1	phosphoribosylformylglycinamidine synthase	213302_at
5291	2	PIK3CB	3q22.3	phosphoinositide-3-kinase, catalytic, beta polypeptide	 212688_at,217620_s_at
5331	1	PLCB3	11q13	phospholipase C, beta 3 (phosphatidylinositol-specific)	213384_x_at
5366	2	PMAIP1	18q21.32	phorbol-12-myristate-13-acetate-induced protein 1	 204285_s_at,204286_s_at
5393	1	EXOSC9	4q27	exosome component 9	205061_s_at
5411	5	PNN	14q21.1	pinin, desmosome associated protein	 1567213_at,1567214_a_at,210183_x_at,212036_s_at,212037_at
5420	1	PODXL	7q32-q33	podocalyxin-like	201578_at
5427	1	POLE2	14q21-q22	polymerase (DNA directed), epsilon 2 (p59 subunit)	205909_at
5495	2	PPM1B	2p21	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	 209296_at,213225_at
5519	5	PPP2R1B	11q23.2	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	 202883_s_at,202884_s_at,202885_s_at,202886_s_at,222351_at
5521	2	PPP2R2B	5q31-q32	protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform	 205643_s_at,213849_s_at
5557	1	PRIM1	12q13	primase, DNA, polypeptide 1 (49kDa)	205053_at
5558	5	PRIM2	6p12-p11.1	primase, DNA, polypeptide 2 (58kDa)	 1554884_at,1554885_a_at,205628_at,215708_s_at,215709_at
5613	2	PRKX	Xp22.3	protein kinase, X-linked	 204060_s_at,204061_at
5631	2	PRPS1	Xq21.32-q24	phosphoribosyl pyrophosphate synthetase 1	 208447_s_at,209440_at
5803	1	PTPRZ1	7q31.3	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	204469_at
5865	3	RAB3B	1p32-p31	RAB3B, member RAS oncogene family	 205924_at,205925_s_at,227123_at
5919	1	RARRES2	7q36.1	retinoic acid receptor responder (tazarotene induced) 2	209496_at
5932	1	RBBP8	18q11.2	retinoblastoma binding protein 8	203344_s_at
5983	3	RFC3	13q12.3-q13	replication factor C (activator 1) 3, 38kDa	 204127_at,204128_s_at,231119_at
5984	1	RFC4	3q27	replication factor C (activator 1) 4, 37kDa	204023_at
6059	2	ABCE1	4q31	ATP-binding cassette, sub-family E (OABP), member 1	 201872_s_at,201873_s_at
6091	1	ROBO1	3p12	roundabout, axon guidance receptor, homolog 1 (Drosophila)	213194_at
6229	2	RPS24	10q22-q23	ribosomal protein S24	 1555878_at,200061_s_at
6241	2	RRM2	2p25-p24	ribonucleotide reductase M2 polypeptide	 201890_at,209773_s_at
6337	3	SCNN1A	12p13	sodium channel, nonvoltage-gated 1 alpha	 203453_at,215026_x_at,217264_s_at
6423	2	SFRP2	4q31.3	secreted frizzled-related protein 2	 223121_s_at,223122_s_at
6426	5	SFRS1	17q21.3-q22	splicing factor, arginine/serine-rich 1	 201741_x_at,201742_x_at,208863_s_at,211784_s_at,227164_at
6432	4	SFRS7	2p22.1	splicing factor, arginine/serine-rich 7, 35kDa	 201129_at,211439_at,213649_at,214141_x_at
6480	3	ST6GAL1	3q27-q28	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	 201998_at,214970_s_at,214971_s_at
6535	6	SLC6A8	Xq28	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	 202219_at,210854_x_at,213843_x_at,215812_s_at,226903_s_at,226904_at
6611	1	SMS	Xp22.1	spermine synthase	202043_s_at
6626	1	SNRPA	19q13.1	small nuclear ribonucleoprotein polypeptide A	201770_at
6638	12	SNRPN	15q11.2	small nuclear ribonucleoprotein polypeptide N	 1559342_a_at,1559343_at,1559545_at,1559546_s_at,1560741_at,201522_x_at,206042_x_at,216850_at,226587_at,226591_at,228370_at,240204_at
6653	3	SORL1	11q23.2-q24.2	sortilin-related receptor, L(DLR class) A repeats-containing	 203509_at,212560_at,230707_at
6741	2	SSB	2q31.1	Sjogren syndrome antigen B (autoantigen La)	 201138_s_at,201139_s_at
6997	1	TDGF1	3p21.31	teratocarcinoma-derived growth factor 1	206286_s_at
7013	2	TERF1	8q13	telomeric repeat binding factor (NIMA-interacting) 1	 203448_s_at,203449_s_at
7072	7	TIA1	2p13	TIA1 cytotoxic granule-associated RNA binding protein	 1554889_at,1554890_a_at,201446_s_at,201447_at,201448_at,201449_at,201450_s_at
7112	5	TMPO	12q22	thymopoietin	 203432_at,209753_s_at,209754_s_at,224944_at,237863_at
7138	1	TNNT1	19q13.4	troponin T type 1 (skeletal, slow)	213201_s_at
7360	2	UGP2	2p14-p13	UDP-glucose pyrophosphorylase 2	 205480_s_at,232180_at
7447	2	VSNL1	2p24.3	visinin-like 1	 203797_at,203798_s_at
7804	2	LRP8	1p34	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	 205282_at,208433_s_at
7855	2	FZD5	2q33-q34	frizzled homolog 5 (Drosophila)	 206136_at,221245_s_at
8087	5	FXR1	3q28	fragile X mental retardation, autosomal homolog 1	 1569171_a_at,201635_s_at,201636_at,201637_s_at,229519_at
8239	3	USP9X	Xp11.4	ubiquitin specific peptidase 9, X-linked	 201099_at,201100_s_at,229573_at
8324	2	FZD7	2q33	frizzled homolog 7 (Drosophila)	 203705_s_at,203706_s_at
8519	2	IFITM1	11p15.5	interferon induced transmembrane protein 1 (9-27)	 201601_x_at,214022_s_at
8577	4	TMEFF1	9q31	transmembrane protein with EGF-like and two follistatin-like domains 1	 1552277_a_at,1555841_at,205122_at,205123_s_at
8607	1	RUVBL1	3q21	RuvB-like 1 (E. coli)	201614_s_at
8611	2	PPAP2A	5q11	phosphatidic acid phosphatase type 2A	 209147_s_at,210946_at
8615	2	USO1	4q21.1	USO1 homolog, vesicle docking protein (yeast)	 201831_s_at,201832_s_at
8745	3	ADAM23	2q33	ADAM metallopeptidase domain 23	 1559268_at,206046_at,244463_at
8842	1	PROM1	4p15.32	prominin 1	204304_s_at
8886	4	DDX18	2q14.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	 205763_s_at,208895_s_at,208896_at,208897_s_at
9053	3	MAP7	6q23.3	microtubule-associated protein 7	 202889_x_at,202890_at,215471_s_at
9074	2	CLDN6	16p13.3	claudin 6	 208474_at,237810_at
9143	1	SYNGR3	16p13	synaptogyrin 3	205691_at
9184	5	BUB3	10q26	budding uninhibited by benzimidazoles 3 homolog (yeast)	 201456_s_at,201457_x_at,201458_s_at,209974_s_at,229827_at
9188	2	DDX21	10q21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	 208152_s_at,224654_at
9221	3	NOLC1	10q24.32	nucleolar and coiled-body phosphoprotein 1	 205895_s_at,211949_s_at,211951_at
9232	1	PTTG1	5q35.1	pituitary tumor-transforming 1	203554_x_at
9350	1	CER1	9p23-p22	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)	221378_at
9456	2	HOMER1	5q14.2	homer homolog 1 (Drosophila)	 213793_s_at,226651_at
9473	2	C1orf38	1p35.3	chromosome 1 open reading frame 38	 207571_x_at,210785_s_at
9573	1	GDF3	12p13.1	growth differentiation factor 3	220053_at
9910	5	RABGAP1L	1q24	RAB GTPase activating protein 1-like	 1554725_at,203020_at,213982_s_at,215342_s_at,232702_at
10011	2	SRA1	5q31.3	steroid receptor RNA activator 1	 224130_s_at,224864_at
10036	4	CHAF1A	19p13.3	chromatin assembly factor 1, subunit A (p150)	 203975_s_at,203976_s_at,214426_x_at,229808_at
10049	3	DNAJB6	7q36.3	DnaJ (Hsp40) homolog, subfamily B, member 6	 208810_at,208811_s_at,209015_s_at
10053	2	AP1M2	19p13.2	adaptor-related protein complex 1, mu 2 subunit	 218261_at,65517_at
10146	7	G3BP1	5q33.1	GTPase activating protein (SH3 domain) binding protein 1	 1557350_at,201503_at,201514_s_at,222187_x_at,225007_at,242422_at,244396_at
10149	1	GPR64	Xp22.13	G protein-coupled receptor 64	206002_at
10157	2	AASS	7q31.3	aminoadipate-semialdehyde synthase	 210852_s_at,214829_at
10196	1	PRMT3	11p15.1	protein arginine methyltransferase 3	213320_at
10346	1	TRIM22	11p15	tripartite motif-containing 22	213293_s_at
10360	1	NPM3	10q24.31	nucleophosmin/nucleoplasmin, 3	205129_at
10383	2	TUBB2C	9q34	tubulin, beta 2C	 208977_x_at,213726_x_at
10434	3	LYPLA1	8q11.23	lysophospholipase I	 203007_x_at,203114_at,212449_s_at
10439	3	OLFM1	9q34.3	olfactomedin 1	 205591_at,210924_at,213131_at
10459	1	MAD2L2	1p36	MAD2 mitotic arrest deficient-like 2 (yeast)	223234_at
10528	2	NOP56	20p13	NOP56 ribonucleoprotein homolog (yeast)	 200874_s_at,200875_s_at
10606	3	PAICS	4q12	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	 201013_s_at,201014_s_at,214664_at
10635	1	RAD51AP1	12p13.2-p13.1	RAD51 associated protein 1	204146_at
10637	1	LEFTY1	1q42.1	left-right determination factor 1	206268_at
10643	4	IGF2BP3	7p11	insulin-like growth factor 2 mRNA binding protein 3	 1569033_at,203819_s_at,203820_s_at,216493_s_at
10644	2	IGF2BP2	3q27.2	insulin-like growth factor 2 mRNA binding protein 2	 218847_at,223963_s_at
10797	1	MTHFD2	2p13.1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	201761_at
10874	1	NMU	4q12	neuromedin U	206023_at
11004	2	KIF2C	1p34.1	kinesin family member 2C	 209408_at,211519_s_at
11040	1	PIM2	Xp11.23	pim-2 oncogene	204269_at
11051	3	NUDT21	16q13	nudix (nucleoside diphosphate linked moiety X)-type motif 21	 202697_at,213461_at,224830_at
11061	1	LECT1	13q14-q21	leukocyte cell derived chemotaxin 1	206309_at
11083	4	DIDO1	20q13.33	death inducer-obliterator 1	 213213_at,218325_s_at,222595_s_at,227335_at
11145	2	PLA2G16	11q12.3-q13.1	phospholipase A2, group XVI	 209581_at,235110_at
11245	2	GPR176	15q14-q15.1	G protein-coupled receptor 176	 206673_at,227846_at
11339	1	OIP5	15q15.1	Opa interacting protein 5	213599_at
22800	3	RRAS2	11p15.2	related RAS viral (r-ras) oncogene homolog 2	 208456_s_at,212589_at,212590_at
22929	3	SEPHS1	10p14	selenophosphate synthetase 1	 208939_at,208940_at,208941_s_at
23108	1	GARNL4	17p13.3	GTPase activating Rap/RanGAP domain-like 4	213280_at
23170	2	TTLL12	22q13.31	tubulin tyrosine ligase-like family, member 12	 1552257_a_at,216251_s_at
23178	3	PASK	2q37.3	PAS domain containing serine/threonine kinase	 206594_at,213534_s_at,216945_x_at
23195	3	MDN1	6q15	MDN1, midasin homolog (yeast)	 1569484_s_at,212693_at,234854_at
23242	2	COBL	7p12.1	cordon-bleu homolog (mouse)	 1552496_a_at,213050_at
23246	2	BOP1	8q24.3	block of proliferation 1	 212563_at,216397_s_at
23397	1	NCAPH	2q11.2	non-SMC condensin I complex, subunit H	212949_at
23401	1	FRAT2	10q24.1	frequently rearranged in advanced T-cell lymphomas 2	209864_at
23411	1	SIRT1	10q21.3	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	218878_s_at
23468	6	CBX5	12q13.13	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	 209715_at,212126_at,226085_at,231862_at,234990_at,242069_at
23534	3	TNPO3	7q32.1	transportin 3	 212317_at,212318_at,214550_s_at
23683	5	PRKD3	2p21	protein kinase D3	 1554910_at,211084_x_at,218236_s_at,222565_s_at,242549_at
24137	1	KIF4A	Xq13.1	kinesin family member 4A	218355_at
25788	2	RAD54B	8q21.3-q22	RAD54 homolog B (S. cerevisiae)	 219494_at,220549_at
25926	1	NOL11	17q24.2	nucleolar protein 11	221970_s_at
25957	6	SFRS18	6q16.3	splicing factor, arginine/serine-rich 18	 212176_at,212177_at,212179_at,225507_at,226412_at,230375_at
26018	4	LRIG1	3p14	leucine-rich repeats and immunoglobulin-like domains 1	 211596_s_at,236173_s_at,238339_x_at,240140_s_at
26047	4	CNTNAP2	7q35-q36	contactin associated protein-like 2	 215145_s_at,219300_s_at,219301_s_at,219302_s_at
26135	7	SERBP1	1p31	SERPINE1 mRNA binding protein 1	 209669_s_at,210076_x_at,210466_s_at,217724_at,217725_x_at,227369_at,228129_at
26207	5	PITPNC1	17q24.2	phosphatidylinositol transfer protein, cytoplasmic 1	 1568949_at,219155_at,227589_at,229414_at,238649_at
26354	1	GNL3	3p21.1	guanine nucleotide binding protein-like 3 (nucleolar)	217850_at
27231	1	ITGB1BP3	19p13.3	integrin beta 1 binding protein 3	221051_s_at
29078	1	NDUFAF4	6q16.1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	219006_at
29785	1	CYP2S1	19q13.1	cytochrome P450, family 2, subfamily S, polypeptide 1	223385_at
29920	2	PYCR2	1q42.12	pyrroline-5-carboxylate reductase family, member 2	 224855_at,231715_s_at
51018	2	RRP15	1q41	ribosomal RNA processing 15 homolog (S. cerevisiae)	 214764_at,219037_at
51053	1	GMNN	6p22.2	geminin, DNA replication inhibitor	218350_s_at
51083	2	GAL	11q13.2	galanin prepropeptide	 207466_at,214240_at
51104	3	FAM108B1	9q21.13	family with sequence similarity 108, member B1	 220285_at,227551_at,228872_at
51268	1	PIPOX	17q11.2	pipecolic acid oxidase	221605_s_at
51444	2	RNF138	18q12.1	ring finger protein 138	 218738_s_at,239143_x_at
51491	4	NOP16	5q35.2	NOP16 nucleolar protein homolog (yeast)	 203023_at,209327_s_at,213833_x_at,214011_s_at
51574	3	LARP7	4q25	La ribonucleoprotein domain family, member 7	 212785_s_at,215246_at,241385_at
51575	2	ESF1	20p12.1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	 218859_s_at,222765_x_at
51582	2	AZIN1	8q22.3	antizyme inhibitor 1	 201772_at,212461_at
51599	1	LSR	19q13.12	lipolysis stimulated lipoprotein receptor	208190_s_at
51659	2	GINS2	16q24.1	GINS complex subunit 2 (Psf2 homolog)	 1557595_at,221521_s_at
