ann.probe	tis.cnt	tis	lv.cnt	lv	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	n.ann.tsp	g.name	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
209971_x_at	1	lung	1	nov_set.a	-0.76417081	-0.794658325	1	7965	JTV1	chr7p22	8	JTV1 gene	lg	0.224879799	0.194967686	0.407661561
211762_s_at	1	lung	1	nov_set.a	-0.450958331	-0.42221666	2	3838   728860	KPNA2 /// LOC728860	chr17q24.2	12	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// karyopherin alpha-2 subunit like"	lg	0.264364528	0.237596885	0.426168185
210000_s_at	1	lung	1	nov_set.a	-0.536091131	-0.31545555	1	8651	SOCS1	chr16p13.13	4	suppressor of cytokine signaling 1	lg	0.188994417	0.221176628	0.372054154
218227_at	1	lung	1	nov_set.a	-0.783295343	-0.621632674	1	10101	NUBP2	chr16p13.3	1	"nucleotide binding protein 2 (MinD homolog, E. coli)"	lg	0.203653821	0.256427463	0.2847106
220536_at	1	lung	1	g.lv7.ALL	-0.26559127	-2.038148611	1	55237	C14orf115	chr14q24.3	3	chromosome 14 open reading frame 115	x	0.250161518	0.199306381	0.343859857
221933_at	1	lung	1	g.lv7.ALL	-0.111800438	-1.96465661	1	57502	NLGN4X	chrXp22.32-p22.31	5	"neuroligin 4, X-linked"	x	0.241041663	0.276623015	0.447564308
202484_s_at	1	lung	1	g.lv7.ALL	0.042601088	2.026676349	1	8932	MBD2	chr18q21	5	methyl-CpG binding domain protein 2	x	0.244664216	0.197141993	0.232343006
216831_s_at	1	lung	1	g.lv5.p.csc	0.046246994	-1.620816055	1	862	RUNX1T1	chr8q22	16	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	x	0.231449885	0.2226965	0.332969791
210198_s_at	1	lung	1	g.lv5.p.csc	-0.076402093	-1.85648932	1	5354	PLP1	chrXq22	9	proteolipid protein 1	x	0.201730298	0.234596131	0.408246099
203102_s_at	1	lung	1	g.lv5.p.csc	0.003880074	1.506217577	1	4247	MGAT2	chr14q21	2	"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	x	0.196229372	0.212004688	0.370552895
226143_at	1	lung	1	g.lv5.p.csc	0.013781579	1.842035943	1	10743	RAI1	chr17p11.2	3	retinoic acid induced 1	x	0.22133996	0.175303203	0.334482321
205720_at	1	lung	1	g.lv3.csc	-0.340581884	-1.457473558	1	5443	POMC	chr2p23.3	9	proopiomelanocortin	x	0.178583885	0.195890864	0.421825356
203356_at	1	lung	1	g.lv3.csc	0.512486526	1.271940058	1	23473	CAPN7	chr3p24	4	calpain 7	x	0.23943255	0.246412057	0.404003153
202118_s_at	1	lung	1	g.lv3.csc	0.262540399	1.553207768	1	8895	CPNE3	chr8q21.3	5	copine III	x	0.240369902	0.221239037	0.437399614
